source_system_id,source_system_name,source_system_type,feedname,target_system_id,target_system_name,target_system_type
Origin_System_1,Origin System 1,origin_system,Feed_O1_I1_A,Intermediate_System_1,Intermediate System 1,intermediate_system
Origin_System_1,Origin System 1,origin_system,Feed_O1_I1_B,Intermediate_System_1,Intermediate System 1,intermediate_system
Origin_System_2,Origin System 2,origin_system,Feed_O2_I1_A,Intermediate_System_1,Intermediate System 1,intermediate_system
Origin_System_3,Origin System 3,origin_system,Feed_O3_I1_A,Intermediate_System_1,Intermediate System 1,intermediate_system
Origin_System_3,Origin System 3,origin_system,Feed_O3_I1_B,Intermediate_System_1,Intermediate System 1,intermediate_system
Origin_System_3,Origin System 3,origin_system,Feed_O3_I1_C,Intermediate_System_1,Intermediate System 1,intermediate_system
Intermediate_System_1,Intermediate System 1,intermediate_system,Feed_I1_I2_A,Intermediate_System_2,Intermediate System 2,intermediate_system
Intermediate_System_1,Intermediate System 1,intermediate_system,Feed_I1_I2_B,Intermediate_System_2,Intermediate System 2,intermediate_system
Intermediate_System_1,Intermediate System 1,intermediate_system,Feed_I1_F1_A,Final_System_1,Final System 1,final_system
Intermediate_System_2,Intermediate System 2,intermediate_system,Feed_I2_F2_A,Final_System_2,Final System 2,final_system
Intermediate_System_2,Intermediate System 2,intermediate_system,Feed_I2_F2_B,Final_System_2,Final System 2,final_system
